u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,tunnel,bridge,width
252675828,291758776,0,"[1106270530, 1134562282, 1134562285, 1298036687, 1109680533, 23334685]",4,道玄坂,tertiary,False,False,104.241,"LINESTRING (139.6994352 35.6594998, 139.6995209 35.6595266, 139.6995861 35.6595383, 139.6997166 35.6595537, 139.6997951 35.6595598, 139.6998849 35.6595602, 139.6999526 35.6595585, 139.7000182 35.6595532, 139.7000853 35.6595457, 139.7001546 35.6595354, 139.7002239 35.659525, 139.7005723 35.6594821)",,,,,,
252675828,356642816,0,"[1298036686, 1134562287, 1112568722, 1110356210, 1035760830]",2,道玄坂,tertiary,False,False,118.119,"LINESTRING (139.6994352 35.6594998, 139.6993568 35.6594736, 139.6992404 35.6594368, 139.6991764 35.6594198, 139.6991058 35.659401, 139.6982671 35.6591767, 139.6981983 35.6591565)",,,,,,
252675828,598416635,0,"[1134562286, 153108795, 1112568718, 1035760831]",4,文化村通り,tertiary,False,True,189.668,"LINESTRING (139.6994352 35.6594998, 139.6994094 35.659551, 139.6993487 35.6596017, 139.6993087 35.6596319, 139.6990694 35.6597257, 139.698581 35.6599049, 139.6984033 35.6599728, 139.6983251 35.6600026, 139.6982252 35.660041, 139.6978058 35.6602024, 139.6977591 35.6602203, 139.6976649 35.6602558, 139.6975968 35.6602818)",,,,,,
252676409,1116808119,0,375809353,,宮益坂,tertiary,False,True,10.047,"LINESTRING (139.7031871 35.659672, 139.7030779 35.6596549)",,40,,,,
252676409,1931899052,0,182823065,,,unclassified,False,False,50.733,"LINESTRING (139.7031871 35.659672, 139.7032266 35.6596022, 139.7034252 35.6592588)",,,,,,
252676409,1519733465,0,375809353,,宮益坂,tertiary,False,False,123.30000000000001,"LINESTRING (139.7031871 35.659672, 139.7038893 35.6597879, 139.7042536 35.6598497, 139.7045229 35.6598991)",,40,,,,
252677193,748883683,0,48274900,2,八幡通り,tertiary,False,False,3.901,"LINESTRING (139.7043941 35.6519581, 139.7043698 35.6519291)",872,40,,,,
252677193,1548575347,0,48274900,2,八幡通り,tertiary,False,True,40.912,"LINESTRING (139.7043941 35.6519581, 139.7046082 35.6522823)",872,40,,,,
252677193,748883628,0,60264937,,,unclassified,False,False,119.412,"LINESTRING (139.7043941 35.6519581, 139.7044546 35.6519316, 139.7049329 35.6517224, 139.7052406 35.6516041, 139.7053008 35.6515907, 139.7053398 35.6516316, 139.7055668 35.6515607)",,,,,,
252677196,761170803,0,48274900,2,八幡通り,tertiary,False,True,40.699,"LINESTRING (139.7035152 35.6509538, 139.7038277 35.6512174)",872,40,,,,
252677196,1550081955,0,48274900,2,八幡通り,tertiary,False,False,29.943,"LINESTRING (139.7035152 35.6509538, 139.7033702 35.6508357, 139.7032811 35.6507632)",872,40,,,,
252677196,761170809,0,56251079,,代官坂,residential,False,False,55.284,"LINESTRING (139.7035152 35.6509538, 139.7035802 35.6509179, 139.7040213 35.6506744)",,,,,,
252677197,742560895,0,258432975,2,八幡通り,tertiary,False,False,36.375,"LINESTRING (139.7028101 35.6502109, 139.7027402 35.6501256, 139.702587 35.6499386)",872,40,,,,
252677197,383209708,0,258432975,2,八幡通り,tertiary,False,True,70.974,"LINESTRING (139.7028101 35.6502109, 139.7031865 35.6506725, 139.7032506 35.6507391)",872,40,,,,
252677197,2863969750,0,"[890563932, 282460767]",,代官山坂,unclassified,False,False,32.594,"LINESTRING (139.7028101 35.6502109, 139.7028725 35.6501804, 139.7031192 35.6500598)",,,,,,
252677329,11533330032,0,230394848,6,旧山手通り,primary,False,False,41.965,"LINESTRING (139.7018097 35.6474583, 139.7018809 35.6474128, 139.7019428 35.647363, 139.7019912 35.6473047, 139.7020921 35.6471642)",317,50,,,,
252677329,625513192,0,258432974,2,八幡通り,tertiary,False,True,65.065,"LINESTRING (139.7018097 35.6474583, 139.7018769 35.6475688, 139.7018869 35.6475996, 139.7018997 35.6480295)",872,40,,,,
252677329,767264910,0,777917115,4,旧山手通り,primary,False,True,88.057,"LINESTRING (139.7018097 35.6474583, 139.7016487 35.6475544, 139.7010242 35.647927)",317,50,,,,
252677329,1703073594,0,1037780119,,,unclassified,False,False,55.939,"LINESTRING (139.7018097 35.6474583, 139.7017245 35.6473698, 139.7016178 35.6472412, 139.7014738 35.6470367)",,,,,,
252683741,3790205548,0,26604013,,神宮通り,tertiary,False,True,8.958,"LINESTRING (139.7021031 35.6636147, 139.7022022 35.663612)",,,,,,
252683741,9698257844,0,798794765,,神宮通り,tertiary,False,False,83.70500000000001,"LINESTRING (139.7021031 35.6636147, 139.7020396 35.6635957, 139.7014009 35.6634019, 139.7013236 35.6633716, 139.7012441 35.6633352)",,,,,,
252683801,1685220989,0,213526434,,宮益坂,tertiary,False,False,9.584,"LINESTRING (139.7023676 35.6595405, 139.7024715 35.6595579)",,,,,,
252683801,1316007410,0,"[213526440, 1071930093]",4,旧大山街道,tertiary,False,True,116.161,"LINESTRING (139.7023676 35.6595405, 139.7021512 35.6595118, 139.7020157 35.6595005, 139.7014397 35.6594524, 139.7010885 35.6594487)",,,,,,
252683801,158030029,0,534157302,,明治通り,primary,True,False,262.108,"LINESTRING (139.7023676 35.6595405, 139.7023379 35.659664, 139.7022411 35.6607489, 139.7021986 35.6617451, 139.7021916 35.6618918)",305,50,,,,
252835044,2138385688,0,1035566982,2,青山通り(金王坂),trunk,True,False,46.504,"LINESTRING (139.7046707 35.6586193, 139.7044625 35.6583706, 139.7043812 35.6582735)",246,,yes,,,
252835330,1685220981,0,172125347,,六本木通り,trunk,True,False,94.32,"LINESTRING (139.7043246 35.6580573, 139.703436 35.6579946, 139.7032849 35.657981)",246,,yes,,,
252835330,2214102203,0,211402007,,,unclassified,True,False,82.924,"LINESTRING (139.7043246 35.6580573, 139.7043288 35.6579791, 139.7043517 35.6576003, 139.7046128 35.6574052)",,,,,,
252835332,381044653,0,915103113,,,tertiary,False,True,25.713,"LINESTRING (139.6974 35.6560881, 139.6973037 35.6563057)",,,,,,
252835332,3174589505,0,1110356215,,玉川通り,trunk_link,True,False,64.518,"LINESTRING (139.6974 35.6560881, 139.6967278 35.6558923)",246,,,,,
